                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.4626,                 1.3814,                 1.9326,                0.88726,                0.84615,                0.91751,                0.50848,                 1.3245,                 1.1441,                 1.7288,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.4827,                 1.3962,                 1.9119,                0.87281,                0.81211,                0.91626,                0.50948,                 1.3017,                 1.1256,                 1.7224,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.5313,                 1.4109,                 1.9605,                0.79169,                0.88757,                  0.921,                0.52321,                 1.2758,                  1.072,                  1.681,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.4985,                 1.4553,                 1.9601,                0.84388,                0.92754,                 0.9174,                0.52363,                 1.2924,                 1.0774,                 1.6943,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.4234,                 1.3646,                 1.9006,                 0.8605,                 0.9125,                0.91702,                0.50982,                 1.3247,                    1.1,                 1.7238,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.3848,                 1.3368,                 1.8673,                0.85959,                0.89349,                0.94346,                0.53363,                 1.3365,                 1.0846,                 1.7212,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.5344,                 1.4004,                 1.9415,                0.83286,                0.88457,                0.92341,                 0.5237,                 1.3579,                 1.0987,                 1.7473,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.5172,                 1.3718,                 1.9722,                0.90329,                0.91716,                0.94695,                0.54262,                 1.2632,                 1.0824,                 1.6727,               0.000614,               0.000614,               0.000614
                    142,                 1.4841,                 1.3888,                 1.9625,                0.84429,                0.90533,                0.93006,                0.53622,                 1.2553,                 1.0809,                 1.6694,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.4684,                 1.3762,                 1.9225,                0.84592,                 0.9096,                0.90915,                0.53766,                 1.3386,                 1.0879,                 1.7063,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.4562,                 1.3553,                 1.8896,                0.83782,                0.86391,                0.92007,                0.51133,                 1.3596,                 1.1233,                 1.7284,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.4863,                 1.4518,                 1.9288,                0.80619,                0.86982,                0.91145,                0.45889,                 1.4686,                  1.156,                 1.8091,              0.0005744,              0.0005744,              0.0005744
                    146,                 1.4763,                 1.4003,                  1.926,                0.85067,                0.84273,                0.92361,                0.47596,                 1.4357,                 1.1472,                 1.7714,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.4897,                 1.3948,                 1.9266,                0.86083,                0.86391,                0.92925,                0.51185,                 1.2984,                 1.1145,                 1.6751,              0.0005546,              0.0005546,              0.0005546
                    148,                 1.4372,                 1.3367,                 1.9074,                0.84315,                0.86391,                 0.9145,                0.51472,                 1.2406,                 1.1425,                 1.6474,              0.0005447,              0.0005447,              0.0005447
                    149,                  1.473,                 1.3785,                 1.8902,                0.81874,                0.88201,                0.91059,                0.52552,                 1.2306,                 1.1271,                 1.6218,              0.0005348,              0.0005348,              0.0005348
